prop_id,lat,lon,region,type,actual_price,area
9396782,50.7133548,4.5272896887008,Wallonie,HOUSE,780000.0,250.0
9142902,50.47194905,4.5446545325944,Wallonie,INDUSTRY,1900000.0,7515.0
9402097,50.8657565,4.3472574,Brussels,APARTMENT,1600000.0,217.0
9389863,50.877022,4.7153731,Flanders,OFFICE,725000.0,270.0
9201093,50.8292429,4.4432967,Brussels,HOUSE,2685000.0,648.0
9336202,50.8617773,4.3265464,Brussels,APARTMENT,345000.0,117.0
9372903,49.5592784,5.7445213,Wallonie,OFFICE,420000.0,212.0
8615043,50.7920402,4.3302931,Brussels,APARTMENT,260500.0,74.0
9284416,51.2118011,3.2030324,Flanders,APARTMENT,249500.0,102.0
9141734,50.6421213,5.5551427,Wallonie,OFFICE,783000.0,522.0
9381136,50.7674846,4.474407,Flanders,HOUSE,950000.0,300.0
4252811,50.6357188,5.5803113,Wallonie,OFFICE,885000.0,466.0
9257022,51.2211097,4.3997081,Flanders,APARTMENT,355000.0,65.0
9275963,51.1873933,4.1429184,Flanders,APARTMENT,226000.0,84.0
8692733,51.1788937,5.1000887,Flanders,OFFICE,205000.0,205.0
9353717,50.7427244,3.9298716,Flanders,APARTMENT,299000.0,72.0
8647204,51.140453,4.5555826,Flanders,INDUSTRY,750000.0,789.0
9318935,50.8368511,4.3895104,Brussels,HOUSE,1090000.0,423.0
9284205,51.0446695,3.7391838,Flanders,HOUSE,530000.0,198.0
9401223,51.2007875,3.2278605,Flanders,HOUSE,1195000.0,295.0
9359740,50.84493445,3.2026154878227,Flanders,APARTMENT,141000.0,113.0
8963188,50.6628104,4.4825691512066,Wallonie,HOUSE,1895000.0,528.0
9125873,50.8255555,4.3617518,Brussels,HOUSE,4500000.0,1008.0
9330292,50.810101,5.5726664,Flanders,APARTMENT,215000.0,123.0
9353047,50.8112024,4.3358186,Brussels,HOUSE,740000.0,340.0
8698755,50.8456756,4.4374402,Flanders,OFFICE,963900.0,771.0
9219362,50.5807841,5.2598012,Wallonie,INDUSTRY,695000.0,820.0
9329271,51.0569365,3.7245401,Flanders,APARTMENT,645000.0,118.0
9333734,50.9062872,4.3081762,Flanders,APARTMENT,349000.0,148.0
9382008,51.1890433,2.8300985,Flanders,APARTMENT,159000.0,51.0
7233020,51.34942965,3.3233738606453,Flanders,APARTMENT,670000.0,120.0
9302620,50.3346461,4.6073303,Wallonie,INDUSTRY,329000.0,386.0
9352536,50.6439697,5.5615618,Wallonie,HOUSE,445000.0,358.0
9262105,50.9572554,3.1381128,Flanders,HOUSE,580000.0,361.0
9386267,50.8832842,4.6667716,Flanders,HOUSE,745000.0,270.0
9376981,50.65630215,4.3507902353934,Wallonie,HOUSE,520000.0,186.0
9401437,50.799394,4.4158177,Brussels,HOUSE,575000.0,147.0
8909874,50.8896709,4.3738715,Brussels,APARTMENT,249000.0,80.0
9067137,50.8092193,4.3214415,Brussels,HOUSE,450000.0,220.0
9399011,51.2144258,3.2169536,Flanders,HOUSE,649000.0,258.0
9244503,50.8244414,4.3682554,Brussels,APARTMENT,698250.0,107.0
9393309,51.057251,3.7352992,Flanders,APARTMENT,410000.0,125.0
9257106,50.0238828,5.7364318,Wallonie,HOUSE,500000.0,285.0
9251669,50.4687313,4.9219558,Wallonie,HOUSE,315000.0,190.0
9380544,50.9499078,3.5281214,Flanders,HOUSE,465000.0,135.0
9358367,51.1933908,4.1780279,Flanders,HOUSE,1750000.0,2200.0
9284634,50.859046,4.3408871,Brussels,HOUSE,275000.0,270.0
9182801,51.3423143,3.2854317,Flanders,APARTMENT,795000.0,125.0
9296905,50.6619331,5.7051955,Wallonie,HOUSE,625000.0,345.0
9318318,50.8267409,4.345668,Brussels,OFFICE,280000.0,55.0
9367145,50.9341625,4.3287322,Flanders,HOUSE,795000.0,350.0
9350021,50.5931607,4.2860216341575,Wallonie,HOUSE,575000.0,215.0
9383180,50.7332278,4.5629336,Wallonie,HOUSE,975000.0,420.0
9342802,50.801125,4.3533296,Brussels,APARTMENT,725000.0,150.0
9327782,50.7516077,4.6702286,Wallonie,INDUSTRY,490000.0,183.0
9402127,50.6628104,4.4825691512066,Wallonie,HOUSE,3900000.0,425.0
9024173,51.0803478,3.3905721,Flanders,HOUSE,1350000.0,280.0
9009160,50.7085415,4.440342,Wallonie,OFFICE,165000.0,88.0
8943465,51.1806482,4.2383861,Flanders,INDUSTRY,650000.0,354.0
9401935,50.622674,3.7533798,Wallonie,HOUSE,360000.0,360.0
9383839,50.8465573,4.351697,Brussels,APARTMENT,745000.0,165.0
9354608,50.8501169,3.8213098,Flanders,HOUSE,489000.0,311.0
9368652,50.6741689,4.6141567317211,Wallonie,APARTMENT,365000.0,110.0
9389533,50.68088165,4.2666690726132,Wallonie,HOUSE,945000.0,315.0
8894996,50.8429147,3.4708214,Flanders,APARTMENT,157500.0,58.0
9336917,50.7674846,4.474407,Flanders,HOUSE,989000.0,400.0
9128927,50.6046582,5.5154933,Wallonie,OFFICE,240000.0,495.0
9321519,51.0267796,4.1890124,Flanders,INDUSTRY,795000.0,5280.0
9346040,50.6045978,5.4386879,Wallonie,APARTMENT,270000.0,160.0
9401825,51.1806482,4.2383861,Flanders,OFFICE,145000.0,68.0
8804672,50.4056635,3.8513958,Wallonie,HOUSE,225000.0,140.0
9347178,50.9017691,4.348293,Flanders,OFFICE,249000.0,160.0
9400823,50.6331835,5.576814,Wallonie,OFFICE,287500.0,185.0
8948180,50.8033982,4.3368742,Brussels,APARTMENT,335000.0,120.0
9280690,50.944065,4.0214126,Flanders,APARTMENT,259000.0,110.0
9395589,49.8678498,5.040005,Wallonie,HOUSE,385000.0,930.0
9032549,51.1395223,4.4375973,Flanders,OFFICE,1345582.0,499.0
9218532,50.8292429,4.4432967,Brussels,HOUSE,1050000.0,273.0
9352086,50.7173563,4.3978047,Wallonie,APARTMENT,335000.0,120.0
9328977,50.6418718,5.566075,Wallonie,APARTMENT,550000.0,407.0
9309423,51.2170299,4.4270726,Flanders,HOUSE,319000.0,133.0
8570234,51.0418604,3.7161492,Flanders,OFFICE,225000.0,103.0
9171774,50.4110871,4.9043004277231,Wallonie,APARTMENT,325000.0,115.0
9210124,51.2260429,4.4090026,Flanders,APARTMENT,520000.0,130.0
